yearID,lgID,DH Rule
2013,NL,DH
2024,NL,DH
2007,AL,DH
1949,NL,NO DH
1989,AL,DH
1993,NL,DH
1970,AL,NO DH
1982,AL,DH
1983,NL,DH
2018,NL,DH
1961,NL,NO DH
2017,NL,DH
1970,NL,NO DH
1955,NL,NO DH
2003,NL,DH
1949,AL,NO DH
2011,NL,DH
1948,NL,NO DH
1991,NL,DH
1979,NL,DH
1946,NL,NO DH
1974,AL,DH
1978,AL,DH
1963,NL,NO DH
1998,AL,DH
1998,NL,DH
1955,AL,NO DH
2006,NL,DH
2016,NL,DH
1972,AL,NO DH
1958,AL,NO DH
1954,NL,NO DH
1980,NL,DH
1988,NL,DH
1975,AL,DH
1987,NL,DH
2007,NL,DH
1994,AL,DH
1990,NL,DH
1962,NL,NO DH
1999,NL,DH
1948,AL,NO DH
1950,NL,NO DH
2018,AL,DH
1995,AL,DH
1990,AL,DH
2008,NL,DH
1996,NL,DH
2024,AL,DH
2019,AL,DH
1992,NL,DH
1953,NL,NO DH
1959,NL,NO DH
1975,NL,DH
1976,NL,DH
1968,NL,NO DH
2012,NL,DH
1995,NL,DH
2010,NL,DH
1964,AL,NO DH
2004,NL,DH
2003,AL,DH
1997,NL,DH
1950,AL,NO DH
2015,NL,DH
2001,NL,DH
2008,AL,DH
1960,NL,NO DH
1993,AL,DH
1959,AL,NO DH
1973,AL,DH
1962,AL,NO DH
2015,AL,DH
1947,NL,NO DH
2011,AL,DH
1987,AL,DH
1967,NL,NO DH
2016,AL,DH
1952,AL,NO DH
2020,AL,DH
2009,AL,DH
1986,NL,DH
2019,NL,DH
1988,AL,DH
1965,NL,NO DH
1964,NL,NO DH
2004,AL,DH
1961,AL,NO DH
1985,AL,DH
1968,AL,NO DH
1965,AL,NO DH
2002,NL,DH
2005,AL,DH
2005,NL,DH
2000,NL,DH
1981,NL,DH
1952,NL,NO DH
2014,NL,DH
2021,NL,DH
1966,NL,NO DH
1979,AL,DH
1958,NL,NO DH
1966,AL,NO DH
1953,AL,NO DH
1996,AL,DH
2000,AL,DH
2009,NL,DH
2023,AL,DH
1989,NL,DH
1982,NL,DH
2017,AL,DH
1969,AL,NO DH
2022,AL,DH
1956,AL,NO DH
1967,AL,NO DH
1947,AL,NO DH
1991,AL,DH
1951,AL,NO DH
1957,AL,NO DH
1981,AL,DH
1986,AL,DH
2021,AL,DH
1983,AL,DH
2023,NL,DH
1971,NL,NO DH
2020,NL,DH
1971,AL,NO DH
1992,AL,DH
2014,AL,DH
1946,AL,NO DH
1985,NL,DH
1960,AL,NO DH
1977,NL,DH
2012,AL,DH
1957,NL,NO DH
1978,NL,DH
2006,AL,DH
1956,NL,NO DH
1951,NL,NO DH
1969,NL,NO DH
1997,AL,DH
1976,AL,DH
2010,AL,DH
1984,NL,DH
1954,AL,NO DH
2013,AL,DH
1977,AL,DH
1972,NL,NO DH
2002,AL,DH
1984,AL,DH
1999,AL,DH
2001,AL,DH
1974,NL,DH
1980,AL,DH
1963,AL,NO DH
1994,NL,DH
1973,NL,DH
2022,NL,DH
